"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pICVP","pICVP","","","",0,*,"","","","null {[]} {[]}
","pICVP","Data elements for the Paper Model International Certificate of Vaccination or Prophylaxis.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pICVP.name","pICVP.name","","","",1,1,"","","","string {[]} {[]}
","Name","The full name of the client","","","","","","","","","",,,,,"",,,,"DVC.name",1,1,"",""
"pICVP.dob","pICVP.dob","","","",1,1,"","","","date {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"DVC.dob",1,1,"",""
"pICVP.sex","pICVP.sex","","","",0,1,"","","","code {[]} {[]}
","Sex","Sex","","","","","","","","","",,,,,"",,,,"DVC.sex",0,1,"",""
"pICVP.nationality","pICVP.nationality","","","",0,1,"","","","code {[]} {[]}
","Nationality","Nationality","","","","","","","","","",,,,,"",,,,"DVC.nationality",0,1,"",""
"pICVP.nid","pICVP.nid","","","",0,1,"","","","Identifier {[]} {[]}
","National Identification Document","National Identification Document","","","","","","","","","",,,,,"",,,,"DVC.nid",0,1,"",""
"pICVP.ndt","pICVP.ndt","","","",0,1,"","","","code {[]} {[]}
","National ID Document Type","National ID Document Type","","","","","","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/v2-0203","",,,,"DVC.ndt",0,1,"",""
"pICVP.guardian","pICVP.guardian","","","",0,1,"","","","string {[]} {[]}
","Parent/Guardian","Name of Parent or Guardian","","","","","","","","","",,,,,"",,,,"DVC.guardian",0,1,"",""
"pICVP.issuer","pICVP.issuer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Document issuer","Document issuer","","","","","","","","","",,,,,"",,,,"DVC.issuer",0,1,"",""
"pICVP.vaccineDetails","pICVP.vaccineDetails","","","",1,*,"","","","http://smart.who.int/icvp/StructureDefinition/ICVPVaccineDetails {[]} {[]}
","Vaccine Details","Vaccine Details","","","","","","","","","",,,,,"",,,,"DVC.vaccineDetails",1,*,"",""
