"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ICVP","ICVP","","","",0,*,"","","","null {[]} {[]}
","ICVP","Data elements for the Model International Certificate of Vaccination or Prophylaxis.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ICVP.name","ICVP.name","","","",1,1,"","","","string {[]} {[]}
","Name","The full name of the client","","","","","","","","","",,,,,"",,,,"DVC.name",1,1,"",""
"ICVP.name.id","ICVP.name.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ICVP.name.extension","ICVP.name.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ICVP.name.extension:SelectiveDisclosure","ICVP.name.extension","SelectiveDisclosure","","",0,1,"","","","Extension {[CanonicalType[http://smart.who.int/trust-phw/StructureDefinition/SelectiveDisclosure]]} {[]}
","Extension","Guidance that a document signing service with selective disclosure support (e.g. SD-JWT) should perform a selective disclosure of the content of the containing node of the extension in the JSON representation of the FHIR instance.

The code value should be from a code system containing appropriate disclosure statements for the use case.  The disclosure statement should describe the content that is to be disclosed at that node.  For example a code such as 'disclose-date-of-birth' or 'disclose-vaccine-history'.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ICVP.name.value","ICVP.name.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"ICVP.dob","ICVP.dob","","","",1,1,"","","","date {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"DVC.dob",1,1,"",""
"ICVP.dob.id","ICVP.dob.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ICVP.dob.extension","ICVP.dob.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ICVP.dob.extension:SelectiveDisclosure","ICVP.dob.extension","SelectiveDisclosure","","",0,1,"","","","Extension {[CanonicalType[http://smart.who.int/trust-phw/StructureDefinition/SelectiveDisclosure]]} {[]}
","Extension","Guidance that a document signing service with selective disclosure support (e.g. SD-JWT) should perform a selective disclosure of the content of the containing node of the extension in the JSON representation of the FHIR instance.

The code value should be from a code system containing appropriate disclosure statements for the use case.  The disclosure statement should describe the content that is to be disclosed at that node.  For example a code such as 'disclose-date-of-birth' or 'disclose-vaccine-history'.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ICVP.dob.value","ICVP.dob.value","","","",0,1,"","","","date {[]} {[]}
","Primitive value for date","The actual value","","","","","","","","","",,,,,"",,,,"date.value",0,1,"",""
"ICVP.sex","ICVP.sex","","","",0,1,"","","","code {[]} {[]}
","Sex","Sex","","","","","","","","","",,,,,"",,,,"DVC.sex",0,1,"",""
"ICVP.sex.id","ICVP.sex.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ICVP.sex.extension","ICVP.sex.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ICVP.sex.extension:SelectiveDisclosure","ICVP.sex.extension","SelectiveDisclosure","","",0,1,"","","","Extension {[CanonicalType[http://smart.who.int/trust-phw/StructureDefinition/SelectiveDisclosure]]} {[]}
","Extension","Guidance that a document signing service with selective disclosure support (e.g. SD-JWT) should perform a selective disclosure of the content of the containing node of the extension in the JSON representation of the FHIR instance.

The code value should be from a code system containing appropriate disclosure statements for the use case.  The disclosure statement should describe the content that is to be disclosed at that node.  For example a code such as 'disclose-date-of-birth' or 'disclose-vaccine-history'.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ICVP.sex.value","ICVP.sex.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for code","Primitive value for code","","","","","","","","","",,,,,"",,,,"string.value",0,1,"",""
"ICVP.nationality","ICVP.nationality","","","",0,1,"","","","code {[]} {[]}
","Nationality","Nationality","","","","","","","","","",,,,,"",,,,"DVC.nationality",0,1,"",""
"ICVP.nationality.id","ICVP.nationality.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
