"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVDCareTreatment","HIVDCareTreatment","","","",0,*,"","","","null {[]} {[]}
","HIV.D Care-Treatment","This tab describes the data that may be collected during care and treatment clinical visit for HIV workflow (HIV.D)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVDCareTreatment.reasonForVisit","HIVDCareTreatment.reasonForVisit","","","",1,*,"","","","Coding {[]} {[]}
","Reason for visit","Whether visit was scheduled or unscheduled, clinical only, or for ARV drug pick-up","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE1","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1
",,,,"HIVDCareTreatment.reasonForVisit",1,*,"",""
"HIVDCareTreatment.scheduledVisit","HIVDCareTreatment.scheduledVisit","","","",1,1,"","","","boolean {[]} {[]}
","Scheduled visit","Is this is a scheduled visit?","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE8
",,,,"HIVDCareTreatment.scheduledVisit",1,1,"",""
"HIVDCareTreatment.bodyTemperature","HIVDCareTreatment.bodyTemperature","","","",0,1,"","","","integer {[]} {[]}
","Body temperature","Temperature of the client in Celsius","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE9
",,,,"HIVDCareTreatment.bodyTemperature",0,1,"",""
"HIVDCareTreatment.respiratoryRate","HIVDCareTreatment.respiratoryRate","","","",0,1,"","","","integer {[]} {[]}
","Respiratory rate","The number of breaths per minute","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE10
",,,,"HIVDCareTreatment.respiratoryRate",0,1,"",""
"HIVDCareTreatment.heartRate","HIVDCareTreatment.heartRate","","","",0,1,"","","","integer {[]} {[]}
","Heart rate","The number of heartbeats per minute","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE11
",,,,"HIVDCareTreatment.heartRate",0,1,"",""
"HIVDCareTreatment.bodyHeight","HIVDCareTreatment.bodyHeight","","","",0,1,"","","","integer {[]} {[]}
","Body height","The client's height in centimetres","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE12
",,,,"HIVDCareTreatment.bodyHeight",0,1,"",""
"HIVDCareTreatment.bodyWeight","HIVDCareTreatment.bodyWeight","","","",1,1,"","","","integer {[]} {[]}
","Body weight","The client's current weight in kilograms","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE13
",,,,"HIVDCareTreatment.bodyWeight",1,1,"",""
"HIVDCareTreatment.systolicBloodPressure","HIVDCareTreatment.systolicBloodPressure","","","",0,1,"","","","integer {[]} {[]}
","Systolic blood pressure","Systolic blood pressure (SBP) in mmHg","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE14
",,,,"HIVDCareTreatment.systolicBloodPressure",0,1,"",""
"HIVDCareTreatment.diastolicBloodPressure","HIVDCareTreatment.diastolicBloodPressure","","","",0,1,"","","","integer {[]} {[]}
","Diastolic blood pressure","Diastolic blood pressure (DBP) in mmHg","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE15
",,,,"HIVDCareTreatment.diastolicBloodPressure",0,1,"",""
