"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVIReferral","HIVIReferral","","","",0,*,"","","","null {[]} {[]}
","HIV.I Referral","This tab describes the data that are collected during the referral workflow (HIV.I)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVIReferral.emergencyReferral","HIVIReferral.emergencyReferral","","","",1,1,"","","","boolean {[]} {[]}
","Emergency referral","Referral for urgent care","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE1
",,,,"HIVIReferral.emergencyReferral",1,1,"",""
"HIVIReferral.reasonForReferral","HIVIReferral.reasonForReferral","","","",1,*,"","","","Coding {[]} {[]}
","Reason for referral","Reason why the client is being referred. If diagnosed, this may include the reason for the diagnosis.","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.I.DE2","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE2
",,,,"HIVIReferral.reasonForReferral",1,*,"",""
"HIVIReferral.referralForOtherGeneralServicesSpecify","HIVIReferral.referralForOtherGeneralServicesSpecify","","","",0,1,"","","","string {[]} {[]}
","Referral for other general services (specify)","If none of the reasons above apply, specify the reason(s)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE8
",,,,"HIVIReferral.referralForOtherGeneralServicesSpecify",0,1,"",""
"HIVIReferral.anyTreatmentGivenBeforeReferral","HIVIReferral.anyTreatmentGivenBeforeReferral","","","",1,1,"","","","boolean {[]} {[]}
","Any treatment given before referral?","If client was referred, was any treatment provided before referral?","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE9
",,,,"HIVIReferral.anyTreatmentGivenBeforeReferral",1,1,"",""
"HIVIReferral.dateOfScheduledReferralAppointment","HIVIReferral.dateOfScheduledReferralAppointment","","","",1,1,"","","","dateTime {[]} {[]}
","Date of scheduled referral appointment","When the referral is scheduled","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE10
",,,,"HIVIReferral.dateOfScheduledReferralAppointment",1,1,"",""
"HIVIReferral.locationOfScheduledReferralAppointment","HIVIReferral.locationOfScheduledReferralAppointment","","","",1,1,"","","","string {[]} {[]}
","Location of scheduled referral appointment","Where the client is being referred to","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE11
",,,,"HIVIReferral.locationOfScheduledReferralAppointment",1,1,"",""
"HIVIReferral.dateReferralWasMade","HIVIReferral.dateReferralWasMade","","","",1,1,"","","","dateTime {[]} {[]}
","Date referral was made","The date the referral was made","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE12
",,,,"HIVIReferral.dateReferralWasMade",1,1,"",""
"HIVIReferral.providerWhoMadeReferral","HIVIReferral.providerWhoMadeReferral","","","",1,1,"","","","string {[]} {[]}
","Provider who made referral","The name of the provider who made the referral","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE13
",,,,"HIVIReferral.providerWhoMadeReferral",1,1,"",""
"HIVIReferral.providerFacility","HIVIReferral.providerFacility","","","",1,1,"","","","string {[]} {[]}
","Provider's facility","Facility client is being referred from","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE14
",,,,"HIVIReferral.providerFacility",1,1,"",""
"HIVIReferral.providerTelephoneNumber","HIVIReferral.providerTelephoneNumber","","","",1,1,"","","","integer {[]} {[]}
","Provider's telephone number","The contact details of the provider making the referral","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE15
",,,,"HIVIReferral.providerTelephoneNumber",1,1,"",""
"HIVIReferral.referralNotes","HIVIReferral.referralNotes","","","",1,1,"","","","string {[]} {[]}
","Referral notes","Any additional relevant details of clinical significance for the referral facility to provide quality care","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE16
",,,,"HIVIReferral.referralNotes",1,1,"",""
"HIVIReferral.clientHistorySummary","HIVIReferral.clientHistorySummary","","","",1,1,"","","","string {[]} {[]}
","Client history summary","With interoperable systems, the provider receiving the referral should be able to access the client's health record digitally. However, in the absence of this, the referral provider should receive a summary of the client's health records that includes the client's history, medications, medications prescribed or dispensed, reported issues and concerns, and any other relevant clinical information the health care provider had already obtained.","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.I.DE17
",,,,"HIVIReferral.clientHistorySummary",1,1,"",""
