URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://smart.who.int/hiv/ValueSet/HIV.A.DE13,1.0.0,active,,HIVADE13,Country of birth ValueSet,"Value set of country where the client was born",,
http://smart.who.int/hiv/ValueSet/HIV.A.DE18,1.0.0,active,,HIVADE18,Gender ValueSet,"Value set of gender of the client",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.A.DE25,1.0.0,active,,HIVADE25,Sex ValueSet,"Value set of sex of the client assigned at birth",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.A.DE30,1.0.0,active,,HIVADE30,Marital Status ValueSet,"Value set of client's current marital status ",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.A.DE43,1.0.0,active,,HIVADE43,Administrative Area ValueSet,"Value set of this should be a context-specific list of administrative areas, such as villages, districts, etc. The purpose of this data element is to allow for grouping and flagging of client data to a particular facility's catchment area. This can be input into the system by the end user OR it can be automated in the database based on the end user's attributes.",,
http://smart.who.int/hiv/ValueSet/HIV.A.DE46,1.0.0,active,,HIVADE46,Communication preference(s) ValueSet,"Value set of how the client would like to receive family planning communications",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.A.DE5,1.0.0,active,,HIVADE5,Referred by ValueSet,"Value set of how the client was referred",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.B.DE1,1.0.0,active,,HIVBDE1,Reason for visit ValueSet,"Value set of reason for HIV testing services visit",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.B.DE102,1.0.0,active,,HIVBDE102,Test result of HIV assay 3 ValueSet,"Value set of the result of the third HIV assay in the testing strategy",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.B.DE106,1.0.0,active,,HIVBDE106,Test result of HIV assay 1 repeated ValueSet,"Value set of the result of the repeated first HIV assay in the testing strategy",,"Internal"
http://smart.who.int/hiv/ValueSet/HIV.B.DE111,1.0.0,active,,HIVBDE111,HIV test result ValueSet,"Value set of the result from HIV testing after applying the testing algorithm",,"Internal"
