"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVCPrEPvisit","HIVCPrEPvisit","","","",0,*,"","","","null {[]} {[]}
","HIV.C PrEP visit","This tab describes the data that may be collected during the pre-exposure prophylaxis (PrEP) or post-exposure prophylaxis (PEP) workflow (HIV.C)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVCPrEPvisit.reasonForPrepVisit","HIVCPrEPvisit.reasonForPrepVisit","","","",1,1,"","","","Coding {[]} {[]}
","Reason for PrEP visit","Client's reason for the prevention visit","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE1","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE1
",,,,"HIVCPrEPvisit.reasonForPrepVisit",1,1,"",""
"HIVCPrEPvisit.threeMonthPrepVisit","HIVCPrEPvisit.threeMonthPrepVisit","","","",0,1,"","","","boolean {[]} {[]}
","3-month PrEP visit","Client is visiting for the recommended 3-month pre-exposure prophylaxis (PrEP) visit","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE7
",,,,"HIVCPrEPvisit.threeMonthPrepVisit",0,1,"",""
"HIVCPrEPvisit.contactWithAndSuspectedExposureToHiv","HIVCPrEPvisit.contactWithAndSuspectedExposureToHiv","","","",0,1,"","","","boolean {[]} {[]}
","Contact with and (suspected) exposure to HIV","The client had suspected or known exposure to HIV","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE8
",,,,"HIVCPrEPvisit.contactWithAndSuspectedExposureToHiv",0,1,"",""
"HIVCPrEPvisit.dateTimeOfSuspectedExposureToHiv","HIVCPrEPvisit.dateTimeOfSuspectedExposureToHiv","","","",0,1,"","","","dateTime {[]} {[]}
","Date/time of suspected exposure to HIV","When the suspect exposure to HIV took place","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE9
",,,,"HIVCPrEPvisit.dateTimeOfSuspectedExposureToHiv",0,1,"",""
"HIVCPrEPvisit.currentlyOnPrep","HIVCPrEPvisit.currentlyOnPrep","","","",0,1,"","","","boolean {[]} {[]}
","Currently on PrEP","The client is currently taking PrEP. Oral pre-exposure prophylaxis (PrEP) of HIV is the use of ARV drugs by people who are not infected with HIV to block the acquisition of HIV.","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE10
",,,,"HIVCPrEPvisit.currentlyOnPrep",0,1,"",""
"HIVCPrEPvisit.prepDosingType","HIVCPrEPvisit.prepDosingType","","","",0,1,"","","","Coding {[]} {[]}
","PrEP dosing type","Way in which pre-exposure prophylaxis (PrEP) is taken (daily or event-driven)","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE11","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE11
",,,,"HIVCPrEPvisit.prepDosingType",0,1,"",""
"HIVCPrEPvisit.otherPrepDosingTypeSpecify","HIVCPrEPvisit.otherPrepDosingTypeSpecify","","","",0,1,"","","","string {[]} {[]}
","Other PrEP dosing type (specify)","Other PrEP dosing type (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE15
",,,,"HIVCPrEPvisit.otherPrepDosingTypeSpecify",0,1,"",""
"HIVCPrEPvisit.usedEventDrivenPrepForAtRiskExposuresOverThePast3Months","HIVCPrEPvisit.usedEventDrivenPrepForAtRiskExposuresOverThePast3Months","","","",0,1,"","","","boolean {[]} {[]}
","Used event-driven PrEP for at risk exposures over the past 3 months","Client reports taking ED-PrEP for at risk exposures over a 3-month period","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE16
",,,,"HIVCPrEPvisit.usedEventDrivenPrepForAtRiskExposuresOverThePast3Months",0,1,"",""
"HIVCPrEPvisit.currentPrepRegimen","HIVCPrEPvisit.currentPrepRegimen","","","",0,1,"","","","Coding {[]} {[]}
","Current PrEP regimen","HIV pre-exposure prophylaxis (PrEP) regimen","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE17","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE17
",,,,"HIVCPrEPvisit.currentPrepRegimen",0,1,"",""
"HIVCPrEPvisit.experienceWithPrep","HIVCPrEPvisit.experienceWithPrep","","","",0,1,"","","","Coding {[]} {[]}
","Experience with PrEP","The client's experience in taking PrEP","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE24","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE24
",,,,"HIVCPrEPvisit.experienceWithPrep",0,1,"",""
"HIVCPrEPvisit.prepStartDate","HIVCPrEPvisit.prepStartDate","","","",0,1,"","","","date {[]} {[]}
","PrEP start date","The date on which the client started or restarted pre-exposure prophylaxis (PrEP)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE28
",,,,"HIVCPrEPvisit.prepStartDate",0,1,"",""
"HIVCPrEPvisit.stoppedPrep","HIVCPrEPvisit.stoppedPrep","","","",0,1,"","","","boolean {[]} {[]}
","Stopped PrEP","Client stopped taking pre-exposure prophylaxis (PrEP)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE29
",,,,"HIVCPrEPvisit.stoppedPrep",0,1,"",""
"HIVCPrEPvisit.datePrepStopped","HIVCPrEPvisit.datePrepStopped","","","",0,1,"","","","date {[]} {[]}
","Date PrEP stopped","Date client stopped taking pre-exposure prophylaxis (PrEP)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE30
",,,,"HIVCPrEPvisit.datePrepStopped",0,1,"",""
"HIVCPrEPvisit.pepHistory","HIVCPrEPvisit.pepHistory","","","",0,1,"","","","Coding {[]} {[]}
","PEP history","The client's history in taking post-exposure prophylaxis (PEP) for HIV prevention","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE31","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE31
",,,,"HIVCPrEPvisit.pepHistory",0,1,"",""
"HIVCPrEPvisit.datesOfPastPepUse","HIVCPrEPvisit.datesOfPastPepUse","","","",0,1,"","","","date {[]} {[]}
","Date(s) of past PEP use","Dates when the client previously used post-exposure prophylaxis (PEP)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE34
",,,,"HIVCPrEPvisit.datesOfPastPepUse",0,1,"",""
"HIVCPrEPvisit.dateClientCompletesPepCourse","HIVCPrEPvisit.dateClientCompletesPepCourse","","","",0,1,"","","","date {[]} {[]}
","Date client completes PEP course","Date client completes PEP course","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE35
",,,,"HIVCPrEPvisit.dateClientCompletesPepCourse",0,1,"",""
"HIVCPrEPvisit.signsOfSubstantialRiskOfHivInfection","HIVCPrEPvisit.signsOfSubstantialRiskOfHivInfection","","","",1,*,"","","","Coding {[]} {[]}
","Signs of substantial risk of HIV infection","Signs the client is at a substantial risk of HIV infection","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE36","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE36
",,,,"HIVCPrEPvisit.signsOfSubstantialRiskOfHivInfection",1,*,"",""
"HIVCPrEPvisit.pregnancyIntentionInSerodiscordantPartnerships","HIVCPrEPvisit.pregnancyIntentionInSerodiscordantPartnerships","","","",1,1,"","","","Coding {[]} {[]}
","Pregnancy intention in serodiscordant partnerships","Client's intention or desire in the next year to either become pregnant or prevent a future pregnancy (in serodiscordant partnerships)","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE41","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE41
",,,,"HIVCPrEPvisit.pregnancyIntentionInSerodiscordantPartnerships",1,1,"",""
"HIVCPrEPvisit.acuteHivInfectionSymptoms","HIVCPrEPvisit.acuteHivInfectionSymptoms","","","",0,*,"","","","Coding {[]} {[]}
","Acute HIV infection symptoms","Symptoms that could suggest an acute HIV infection","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE46","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE46
",,,,"HIVCPrEPvisit.acuteHivInfectionSymptoms",0,*,"",""
"HIVCPrEPvisit.sexPartnerHivTreatmentStatus","HIVCPrEPvisit.sexPartnerHivTreatmentStatus","","","",0,*,"","","","Coding {[]} {[]}
","Sex partner's HIV treatment status","Treatment adherence of client's sex partner for partners that are HIV-positive","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE55","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE55
",,,,"HIVCPrEPvisit.sexPartnerHivTreatmentStatus",0,*,"",""
"HIVCPrEPvisit.suitableForPrep","HIVCPrEPvisit.suitableForPrep","","","",0,1,"","","","boolean {[]} {[]}
","Suitable for PrEP","The client is suitable for PrEP","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE61
",,,,"HIVCPrEPvisit.suitableForPrep",0,1,"",""
"HIVCPrEPvisit.offeredPrep","HIVCPrEPvisit.offeredPrep","","","",0,1,"","","","boolean {[]} {[]}
","Offered PrEP","After being evaluated as suitable for PrEP, the client was offered PrEP","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE62
",,,,"HIVCPrEPvisit.offeredPrep",0,1,"",""
"HIVCPrEPvisit.screeningsAndDiagnosticsForPrepUsers","HIVCPrEPvisit.screeningsAndDiagnosticsForPrepUsers","","","",0,*,"","","","Coding {[]} {[]}
","Screenings and diagnostics for PrEP users","Listing of tests for clients on or starting pre-exposure prophylaxis (PrEP) that may be recommended or should be considered","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE63","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE63
",,,,"HIVCPrEPvisit.screeningsAndDiagnosticsForPrepUsers",0,*,"",""
