"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVDHIVTB","HIVDHIVTB","","","",0,*,"","","","null {[]} {[]}
","HIV.D HIV-TB","This tab describes the data that may be collected during care and treatment clinical visit for HIV/TB care (HIV.D)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVDHIVTB.whoHivClinicalStageConditionOrSymptom","HIVDHIVTB.whoHivClinicalStageConditionOrSymptom","","","",0,*,"","","","Coding {[]} {[]}
","WHO HIV clinical stage condition or symptom","New or recurrent clinical events used to categorize HIV disease severity based at baseline and follow up","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE934","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE934
",,,,"HIVDHIVTB.whoHivClinicalStageConditionOrSymptom",0,*,"",""
"HIVDHIVTB.tbDisease","HIVDHIVTB.tbDisease","","","",0,1,"","","","boolean {[]} {[]}
","TB disease","Whether the client has tuberculosis (TB) disease. Sometimes known as active TB","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE938
",,,,"HIVDHIVTB.tbDisease",0,1,"",""
"HIVDHIVTB.tbDiagnosisResult","HIVDHIVTB.tbDiagnosisResult","","","",0,1,"","","","Coding {[]} {[]}
","TB diagnosis result","Final result of the TB investigation (bacteriological and/or clinical)","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE939","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE939
",,,,"HIVDHIVTB.tbDiagnosisResult",0,1,"",""
"HIVDHIVTB.methodOfTbDiagnosis","HIVDHIVTB.methodOfTbDiagnosis","","","",0,1,"","","","Coding {[]} {[]}
","Method of TB diagnosis","Method used to set the TB diagnosis","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE942","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE942
",,,,"HIVDHIVTB.methodOfTbDiagnosis",0,1,"",""
"HIVDHIVTB.presumptiveTb","HIVDHIVTB.presumptiveTb","","","",0,1,"","","","boolean {[]} {[]}
","Presumptive TB","Client has signs or symptoms of tuberculosis (TB) without laboratory confirmation","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE945
",,,,"HIVDHIVTB.presumptiveTb",0,1,"",""
"HIVDHIVTB.presumptiveTbRegistrationDate","HIVDHIVTB.presumptiveTbRegistrationDate","","","",0,1,"","","","date {[]} {[]}
","Presumptive TB registration date","Date client is registered as having signs or symptoms of tuberculosis (TB) without laboratory confirmation","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE946
",,,,"HIVDHIVTB.presumptiveTbRegistrationDate",0,1,"",""
"HIVDHIVTB.tbTreatmentHistory","HIVDHIVTB.tbTreatmentHistory","","","",0,1,"","","","Coding {[]} {[]}
","TB treatment history","History of previous TB treatment","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE947","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE947
",,,,"HIVDHIVTB.tbTreatmentHistory",0,1,"",""
"HIVDHIVTB.dateOfTbDiagnosis","HIVDHIVTB.dateOfTbDiagnosis","","","",0,1,"","","","date {[]} {[]}
","Date of TB diagnosis","The date when the diagnosis was established","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE952
",,,,"HIVDHIVTB.dateOfTbDiagnosis",0,1,"",""
"HIVDHIVTB.currentlyOnTbPreventiveTreatmentTpt","HIVDHIVTB.currentlyOnTbPreventiveTreatmentTpt","","","",1,1,"","","","boolean {[]} {[]}
","Currently on TB preventive treatment (TPT)","Client is currently taking TPT","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE953
",,,,"HIVDHIVTB.currentlyOnTbPreventiveTreatmentTpt",1,1,"",""
"HIVDHIVTB.tbPreventiveTreatmentTptStartDate","HIVDHIVTB.tbPreventiveTreatmentTptStartDate","","","",0,1,"","","","date {[]} {[]}
","TB preventive treatment (TPT) start date","The date on which the client began taking TPT","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE954
",,,,"HIVDHIVTB.tbPreventiveTreatmentTptStartDate",0,1,"",""
"HIVDHIVTB.tbPreventiveTreatmentTptCompletionDate","HIVDHIVTB.tbPreventiveTreatmentTptCompletionDate","","","",0,1,"","","","date {[]} {[]}
","TB preventive treatment (TPT) completion date","The date on which the client completed TPT","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE955
",,,,"HIVDHIVTB.tbPreventiveTreatmentTptCompletionDate",0,1,"",""
"HIVDHIVTB.tbScreeningAlgorithm","HIVDHIVTB.tbScreeningAlgorithm","","","",0,*,"","","","Coding {[]} {[]}
","TB screening algorithm","Screening algorithm selected for screening activities","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE956","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE956
",,,,"HIVDHIVTB.tbScreeningAlgorithm",0,*,"",""
"HIVDHIVTB.otherTbScreeningAlgorithmSpecify","HIVDHIVTB.otherTbScreeningAlgorithmSpecify","","","",0,1,"","","","string {[]} {[]}
","Other TB screening algorithm (specify)","Client screened for tuberculosis (TB) with a different screening method not listed (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE971
",,,,"HIVDHIVTB.otherTbScreeningAlgorithmSpecify",0,1,"",""
"HIVDHIVTB.tbScreeningConducted","HIVDHIVTB.tbScreeningConducted","","","",0,1,"","","","boolean {[]} {[]}
","TB screening conducted","A screening for tuberculosis (TB) was performed","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE972
",,,,"HIVDHIVTB.tbScreeningConducted",0,1,"",""
"HIVDHIVTB.symptomsOfTb","HIVDHIVTB.symptomsOfTb","","","",0,1,"","","","Coding {[]} {[]}
","Symptoms of TB","Symptoms that may indicate TB disease in clients living with HIV, based on a clinical algorithm","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE973","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE973
",,,,"HIVDHIVTB.symptomsOfTb",0,1,"",""
"HIVDHIVTB.historyOfContactWithAPersonWithTb","HIVDHIVTB.historyOfContactWithAPersonWithTb","","","",0,1,"","","","boolean {[]} {[]}
","History of contact with a person with TB","Client had a history of a contact with a person with TB","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE985
",,,,"HIVDHIVTB.historyOfContactWithAPersonWithTb",0,1,"",""
"HIVDHIVTB.tbScreeningResult","HIVDHIVTB.tbScreeningResult","","","",0,1,"","","","Coding {[]} {[]}
","TB screening result","Record the result of the tuberculosis (TB) screening","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE986","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE986
",,,,"HIVDHIVTB.tbScreeningResult",0,1,"",""
"HIVDHIVTB.tbScreeningDate","HIVDHIVTB.tbScreeningDate","","","",0,1,"","","","date {[]} {[]}
","TB screening date","Date the TB screening was conducted","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE990
",,,,"HIVDHIVTB.tbScreeningDate",0,1,"",""
"HIVDHIVTB.tbScreeningResultDate","HIVDHIVTB.tbScreeningResultDate","","","",0,1,"","","","date {[]} {[]}
","TB screening result date","The date when the result of TB screening is available","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE991
",,,,"HIVDHIVTB.tbScreeningResultDate",0,1,"",""
"HIVDHIVTB.tbDiagnosticTestCategory","HIVDHIVTB.tbDiagnosticTestCategory","","","",0,1,"","","","Coding {[]} {[]}
","TB diagnostic test category","The type of diagnostic test performed to detect tuberculosis (TB) disease","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE992","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE992
",,,,"HIVDHIVTB.tbDiagnosticTestCategory",0,1,"",""
"HIVDHIVTB.tbDiagnosticTestDate","HIVDHIVTB.tbDiagnosticTestDate","","","",0,1,"","","","date {[]} {[]}
","TB diagnostic test date","The date when TB diagnostic test was performed","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE997
",,,,"HIVDHIVTB.tbDiagnosticTestDate",0,1,"",""
"HIVDHIVTB.testSampleCollectionDate","HIVDHIVTB.testSampleCollectionDate","","","",0,1,"","","","date {[]} {[]}
","Test sample collection date","The date when the test sample was collected from the client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE998
",,,,"HIVDHIVTB.testSampleCollectionDate",0,1,"",""
"HIVDHIVTB.tbDiagnosticTestResultDate","HIVDHIVTB.tbDiagnosticTestResultDate","","","",0,1,"","","","date {[]} {[]}
","TB diagnostic test result date","The date when the result of the TB diagnostic test is available","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE999
",,,,"HIVDHIVTB.tbDiagnosticTestResultDate",0,1,"",""
"HIVDHIVTB.tbTreatmentStarted","HIVDHIVTB.tbTreatmentStarted","","","",0,1,"","","","boolean {[]} {[]}
","TB treatment started","Indicates if TB treatment was started","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1000
",,,,"HIVDHIVTB.tbTreatmentStarted",0,1,"",""
"HIVDHIVTB.tbTreatmentStartDate","HIVDHIVTB.tbTreatmentStartDate","","","",0,1,"","","","date {[]} {[]}
","TB treatment start date","The date on which the client start or restarted tuberculosis (TB) treatment","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1001
",,,,"HIVDHIVTB.tbTreatmentStartDate",0,1,"",""
"HIVDHIVTB.tbTreatmentOutcome","HIVDHIVTB.tbTreatmentOutcome","","","",0,1,"","","","Coding {[]} {[]}
","TB treatment outcome","Indicates patient's TB treatment outcome","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE1002","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1002
",,,,"HIVDHIVTB.tbTreatmentOutcome",0,1,"",""
"HIVDHIVTB.tbTreatmentCompletionDate","HIVDHIVTB.tbTreatmentCompletionDate","","","",0,1,"","","","date {[]} {[]}
","TB treatment completion date","Date client completes TB treatment","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1009
",,,,"HIVDHIVTB.tbTreatmentCompletionDate",0,1,"",""
"HIVDHIVTB.tbTreatmentRegimenComposition","HIVDHIVTB.tbTreatmentRegimenComposition","","","",0,*,"","","","Coding {[]} {[]}
","TB treatment regimen composition","TB drugs currently being taken by the client","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE1010","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1010
",,,,"HIVDHIVTB.tbTreatmentRegimenComposition",0,*,"",""
"HIVDHIVTB.eligibleForTbPreventiveTreatment","HIVDHIVTB.eligibleForTbPreventiveTreatment","","","",0,1,"","","","boolean {[]} {[]}
","Eligible for TB preventive treatment","Client is eligible for tuberculosis preventive treatment (TPT)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1017
",,,,"HIVDHIVTB.eligibleForTbPreventiveTreatment",0,1,"",""
"HIVDHIVTB.dateWhenEligibilityForTbPreventiveTreatmentTptWasDetermined","HIVDHIVTB.dateWhenEligibilityForTbPreventiveTreatmentTptWasDetermined","","","",0,1,"","","","date {[]} {[]}
","Date when eligibility for TB preventive treatment (TPT) was determined","Date when a determination of the client's eligibility for TPT was made","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1018
",,,,"HIVDHIVTB.dateWhenEligibilityForTbPreventiveTreatmentTptWasDetermined",0,1,"",""
"HIVDHIVTB.tbStatusAtArtStart","HIVDHIVTB.tbStatusAtArtStart","","","",0,1,"","","","Coding {[]} {[]}
","TB status at ART start","Client's tuberculosis (TB) status when antiretroviral therapy (ART) is started","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE1019","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1019
",,,,"HIVDHIVTB.tbStatusAtArtStart",0,1,"",""
"HIVDHIVTB.tbPreventionServicesAccepted","HIVDHIVTB.tbPreventionServicesAccepted","","","",0,1,"","","","boolean {[]} {[]}
","TB prevention services accepted","Indicates if the client accepts to be evaluated for TB infection and to take the treatment in case he/she is eligible","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1023
",,,,"HIVDHIVTB.tbPreventionServicesAccepted",0,1,"",""
"HIVDHIVTB.tbMeningitis","HIVDHIVTB.tbMeningitis","","","",0,1,"","","","boolean {[]} {[]}
","TB meningitis","Type of extrapulmonary TB identified for the client is TB meningitis","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1024
",,,,"HIVDHIVTB.tbMeningitis",0,1,"",""
"HIVDHIVTB.cReactiveProteinTestDate","HIVDHIVTB.cReactiveProteinTestDate","","","",0,1,"","","","date {[]} {[]}
","C reactive protein test date","The date on which the client has a test for C reactive protein","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1025
",,,,"HIVDHIVTB.cReactiveProteinTestDate",0,1,"",""
"HIVDHIVTB.cReactiveProteinTestResult","HIVDHIVTB.cReactiveProteinTestResult","","","",0,1,"","","","integer {[]} {[]}
","C reactive protein test result","Test result of the client's C reactive protein test result in mg/L","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1026
",,,,"HIVDHIVTB.cReactiveProteinTestResult",0,1,"",""
"HIVDHIVTB.cReactiveProteinTestResultDate","HIVDHIVTB.cReactiveProteinTestResultDate","","","",0,1,"","","","date {[]} {[]}
","C reactive protein test result date","The date when the client's test result for C reactive protein is available","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1027
",,,,"HIVDHIVTB.cReactiveProteinTestResultDate",0,1,"",""
"HIVDHIVTB.tptRegimenType","HIVDHIVTB.tptRegimenType","","","",0,1,"","","","Coding {[]} {[]}
","TPT regimen type","Type of TPT regimen the client is currently on","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE1028","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1028
",,,,"HIVDHIVTB.tptRegimenType",0,1,"",""
"HIVDHIVTB.tbPreventiveTreatmentTptStatus","HIVDHIVTB.tbPreventiveTreatmentTptStatus","","","",0,1,"","","","Coding {[]} {[]}
","TB preventive treatment (TPT) status","Indicates the current status of TB preventive treatment (TPT)","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.D.DE1034","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.D.DE1034
",,,,"HIVDHIVTB.tbPreventiveTreatmentTptStatus",0,1,"",""
